MinorAxisLength,Eccentricity,ConvexArea,EquivDiameter,Solidity,roundness,ShapeFactor1,ShapeFactor3,ShapeFactor4,Class
173.888747,0.549812187,28715,190.1410973,0.988855999,0.958027126,0.007331506,0.834222388,0.998723889,0
182.7344194,0.411785251,29172,191.2727505,0.984985603,0.887033637,0.006978659,0.909850506,0.998430331,0
175.9311426,0.562727317,29690,193.4109041,0.989558774,0.947849473,0.007243912,0.825870617,0.999066137,0
182.5165157,0.498615976,30724,195.4670618,0.976695743,0.903936374,0.007016729,0.861794425,0.994198849,0
190.2792788,0.333679658,30417,195.896503,0.99089325,0.984877069,0.00669701,0.941900381,0.999166059,0
181.5101816,0.52040066,30600,196.3477022,0.989509804,0.943851783,0.007020065,0.853269634,0.999235781,0
184.0390501,0.489477894,30970,196.9886332,0.984081369,0.853079869,0.006924899,0.871186188,0.999048736,0
182.7372038,0.513759558,30847,197.1243203,0.989366875,0.967109244,0.006979152,0.856513956,0.99834456,0
183.1571463,0.51408086,31044,197.659696,0.988435769,0.954239808,0.00695891,0.856843654,0.998952981,0
180.8974686,0.553642225,31120,198.1390121,0.990809769,0.97027823,0.007045074,0.8319728,0.999061142,0
184.4398709,0.504102365,31280,198.4055115,0.988395141,0.94625818,0.006907529,0.863112242,0.999384389,0
188.3268476,0.446621924,31458,198.9630385,0.988333651,0.958172836,0.006770006,0.8935057,0.998639711,0
184.9692526,0.507365875,31423,199.0142269,0.989943672,0.952581757,0.006900329,0.859631529,0.997563959,0
183.6443122,0.529514251,31492,199.1773023,0.989394132,0.948119004,0.00694797,0.846495646,0.997871751,0
187.1929601,0.469924157,31474,199.1773023,0.989959967,0.952623101,0.006806181,0.882132064,0.999348898,0
186.5620882,0.482352224,31520,199.2412169,0.989149746,0.965899596,0.006830968,0.875179919,0.999089658,0
184.4716842,0.517871223,31573,199.3178875,0.988249454,0.944079243,0.006911118,0.85434072,0.998693253,0
184.8748759,0.510946829,31558,199.3210815,0.988750871,0.957948542,0.006892534,0.858926376,0.999202033,0
187.535939,0.469883494,31593,199.5413417,0.989839521,0.963425036,0.006793627,0.882167393,0.999364415,0
184.1634403,0.52758671,31599,199.7422367,0.991645305,0.976510834,0.006918465,0.848908647,0.999302487,0
182.0088637,0.56099452,31604,199.8664991,0.99272244,0.973459862,0.007007885,0.826354229,0.998229946,0
188.0664823,0.475535642,31791,200.3627781,0.991790129,0.970792739,0.006780389,0.878368941,0.99849094,0
185.4482507,0.52126839,32197,200.499357,0.980619312,0.873118507,0.006882685,0.851291764,0.997538024,0
175.510446,0.645190802,32045,200.702465,0.987267905,0.921842182,0.007261095,0.763326986,0.999090996,0
171.2105592,0.690678219,32009,200.8229633,0.989565435,0.92092896,0.007474432,0.719510457,0.994950284,0
192.2484159,0.402841974,32026,200.8451524,0.989258727,0.951893863,0.006629811,0.91431363,0.998955589,0
187.2724497,0.496263281,32093,200.9117052,0.987847817,0.92490856,0.006804053,0.867509669,0.999237008,0
184.1151053,0.546072628,32020,201.0542441,0.991505309,0.968482156,0.006922531,0.836881394,0.99897767,0
183.2920681,0.558465259,32173,201.1175623,0.987411805,0.94210463,0.006955411,0.828465935,0.998719784,0
180.9171228,0.589564969,32052,201.2536289,0.992480968,0.969600136,0.007041108,0.807329459,0.999515303,0
189.9692019,0.458286561,32168,201.2852592,0.989212882,0.947378132,0.006716811,0.886890554,0.997846613,0
181.8946963,0.57785815,32274,201.2915846,0.986025903,0.91103962,0.00700351,0.815713278,0.999480554,0
180.4394219,0.596968354,32238,201.3358572,0.987561263,0.928537748,0.007064502,0.801336382,0.998842773,0
188.0653069,0.494138341,32184,201.5823407,0.99164181,0.976946683,0.006778015,0.868380709,0.998846794,0
190.6449473,0.451705439,32246,201.7622728,0.991502822,0.980968377,0.006683582,0.891500859,0.999253193,0
191.4872537,0.436968432,32258,201.8253689,0.991753984,0.980466376,0.006654394,0.898776569,0.999221466,0
192.4225318,0.421302377,32391,201.8316774,0.987743509,0.938453277,0.0066316,0.904909174,0.997782541,0
191.8101346,0.43420694,32375,201.897905,0.988880309,0.941538949,0.006650945,0.899062659,0.998056765,0
176.9318083,0.642831065,32349,201.9325869,0.990015147,0.940247873,0.007212236,0.764306531,0.997778814,0
181.9408668,0.5857513,32308,201.970415,0.991642937,0.967478615,0.007006752,0.809489514,0.998764533,0
188.9705403,0.48544352,32395,201.9893264,0.989164995,0.945354229,0.006745324,0.873288673,0.998879798,0
189.3033869,0.48097147,32301,202.030295,0.992446054,0.977128658,0.006735449,0.875495969,0.998585347,0
173.2308993,0.680580172,32481,202.058653,0.9872233,0.899489569,0.007373438,0.730340347,0.996815403,0
182.3644962,0.583080944,32567,202.1940863,0.985936684,0.9163206,0.006990948,0.811355498,0.998697011,0
183.8290361,0.564236127,32393,202.2098285,0.991387028,0.9593916,0.006933347,0.824764265,0.998971432,0
188.2047159,0.504381753,32521,202.3766203,0.989114726,0.942496457,0.006775904,0.862114638,0.998417873,0
185.2954324,0.547784367,32585,202.5212716,0.988583704,0.934338332,0.00687552,0.836118613,0.999401225,0
184.4046839,0.560975566,32566,202.5369884,0.989314008,0.947743902,0.006914025,0.826703157,0.998635954,0
185.5923729,0.54428951,32710,202.5841313,0.985417304,0.91458402,0.006863577,0.838510191,0.999538373,0
186.0277835,0.539747143,32514,202.6406883,0.991911177,0.977040422,0.00685191,0.840898506,0.998896821,0
186.2777558,0.536918908,32612,202.6626784,0.9891451,0.945408164,0.006844939,0.842429496,0.998572412,0
184.5129929,0.559941518,32563,202.6752432,0.99075638,0.952462642,0.006902816,0.828259093,0.999670452,0
188.5531418,0.503143726,32623,202.7286345,0.989455292,0.970325944,0.006759243,0.86336399,0.999029442,0
189.591319,0.489149967,32615,202.8667587,0.991047064,0.962593368,0.006724978,0.870997175,0.998621278,0
186.136273,0.541530905,32672,202.9138251,0.989777179,0.951253518,0.006846785,0.839892203,0.999061903,0
186.3604099,0.539174328,32720,202.9671537,0.988844743,0.941458316,0.006839117,0.841334475,0.998979202,0
186.1762293,0.542701939,32806,203.0079249,0.986648784,0.891708502,0.006848062,0.838800941,0.998661291,0
188.3004274,0.511456521,32608,203.0330109,0.992885182,0.984008731,0.006768286,0.858478807,0.9990337,0
188.0092368,0.518261408,32775,203.2116585,0.989565217,0.953586944,0.00677818,0.854470079,0.999120486,0
183.6920946,0.578509868,32767,203.3118831,0.99078341,0.954265043,0.006936777,0.815040719,0.999221913,0
187.1344232,0.534673644,32843,203.4652564,0.989982645,0.970006874,0.006810774,0.844202902,0.99898737,0
187.2561106,0.532696427,32811,203.4777716,0.991070068,0.962284651,0.006804317,0.845701683,0.999285467,0
187.6655865,0.527019605,32842,203.4777716,0.990134584,0.952088655,0.006790737,0.849087441,0.999099038,0
184.2147342,0.574579254,33000,203.4996712,0.985606061,0.927264249,0.006920149,0.817451295,0.998781044,0
182.8423057,0.592813998,32901,203.6654067,0.990182669,0.946779791,0.006969046,0.804709378,0.999217682,0
184.9234713,0.566603091,32851,203.6747839,0.991781072,0.970297635,0.006888192,0.823635852,0.99956916,0
