MinorAxisLength,Eccentricity,ConvexArea,EquivDiameter,Solidity,roundness,ShapeFactor1,ShapeFactor3,ShapeFactor4,Class
0.152141686,0.47779703,0.033107013,0.070804134,0.922823845,0.934822559,0.593431568,0.750996366,0.980619876,0
0.178336661,0.278472011,0.034990951,0.073576906,0.871513662,0.793137977,0.54744697,0.884986957,0.974979425,0
0.158189898,0.496447799,0.037126356,0.078815802,0.932140596,0.914510605,0.582015927,0.736199505,0.987195862,0
0.177691376,0.403864463,0.04138892,0.083853791,0.761614254,0.826871454,0.552408422,0.799845837,0.893675329,0
0.200679497,0.165679542,0.040123342,0.084906006,0.949831862,0.988408078,0.510741213,0.941769829,0.989115773,0
0.174711286,0.435323775,0.040877742,0.086011533,0.931491396,0.906532253,0.552843185,0.784742436,0.990455418,0
0.182200106,0.390668137,0.042403031,0.087581939,0.859526152,0.725375067,0.540440726,0.816485255,0.986861517,0
0.178344907,0.425733345,0.041895975,0.0879144,0.929596574,0.95294811,0.54751122,0.790490412,0.973331413,0
0.179588496,0.426197338,0.042708089,0.089226175,0.917252819,0.927264055,0.544873192,0.791074539,0.985021672,0
0.17289684,0.483327997,0.043021391,0.090400593,0.948725147,0.959272584,0.556102469,0.747010763,0.987099887,0
0.18338707,0.41178737,0.043680976,0.091053569,0.91671421,0.911334797,0.53817699,0.802180617,0.993310786,0
0.1948977,0.328779731,0.044414763,0.09241962,0.915899032,0.935113359,0.520254378,0.85602881,0.979002472,0
0.184954745,0.416500212,0.044270479,0.092545041,0.937243223,0.923955016,0.537238654,0.796013827,0.958332871,0
0.181031156,0.448484733,0.044554925,0.092944608,0.929957922,0.915048519,0.543447442,0.772740938,0.964246816,0
0.191539882,0.36243054,0.044480722,0.092944608,0.937459247,0.924037528,0.524968865,0.8358781,0.992628858,0
0.189671661,0.38037794,0.044670352,0.093101211,0.926718075,0.950533967,0.528199218,0.823560962,0.987647796,0
0.18348128,0.43167101,0.044888839,0.093289069,0.914782824,0.906986204,0.538644725,0.786640082,0.980031233,0
0.184675264,0.421671476,0.044827003,0.093296895,0.921430154,0.934665726,0.536222775,0.794764505,0.98980698,0
0.192555557,0.362371818,0.044971287,0.093836576,0.935862484,0.945595387,0.523332772,0.835940693,0.992927004,0
0.182568467,0.445701167,0.044996022,0.094328808,0.959801922,0.971711244,0.539602218,0.77701606,0.991737113,0
0.17618805,0.493945463,0.045016634,0.094633275,0.974081596,0.965622296,0.551255833,0.737056322,0.971129209,0
0.194126672,0.370534099,0.045787523,0.095849256,0.961721867,0.96029941,0.521607537,0.829210963,0.976143972,0
