Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
0.034052674,0.05857388,0.044262141,0.152141686,0.122612114,0.47779703,0.033107013,0.070804134,0.671023713,0.934822559,0.786733129,0.593431568,0.83304873,0.750996366,0.980619876,0
0.035500179,0.077556732,0.030478805,0.178336661,0.051577388,0.278472011,0.034990951,0.073576906,0.735503963,0.793137977,0.903548892,0.54744697,0.967315563,0.884986957,0.974979425,0
0.038258553,0.06803484,0.052633033,0.158189898,0.13152124,0.496447799,0.037126356,0.078815802,0.716670694,0.914510605,0.773513719,0.582015927,0.800942208,0.736199505,0.987195862,0
0.040940067,0.082942065,0.048548217,0.177691376,0.091622957,0.403864463,0.04138892,0.083853791,0.731364551,0.826871454,0.82991152,0.552408422,0.854744078,0.799845837,0.893675329,0
0.041503698,0.065312734,0.032861633,0.200679497,0.02556527,0.165679542,0.040123342,0.084906006,0.700538379,0.988408078,0.951582991,0.510741213,1,0.941769829,0.989115773,0
0.042097218,0.075440528,0.052154746,0.174711286,0.104023916,0.435323775,0.040877742,0.086011533,0.708871017,0.906532253,0.816636253,0.552843185,0.834819239,0.784742436,0.990455418,0
0.042942663,0.099475296,0.049434572,0.182200106,0.086735001,0.390668137,0.042403031,0.087581939,0.666131094,0.725375067,0.844461089,0.540440726,0.863597913,0.816485255,0.986861517,0
0.043122,0.07188043,0.052940323,0.178344907,0.100127401,0.425733345,0.041895975,0.0879144,0.692766192,0.95294811,0.821696269,0.54751122,0.836594908,0.790490412,0.973331413,0
0.043830808,0.075956742,0.053908142,0.179588496,0.100313516,0.426197338,0.042708089,0.089226175,0.695595776,0.927264055,0.822209948,0.544873192,0.83442289,0.791074539,0.985021672,0
0.044467028,0.073391418,0.060560294,0.17289684,0.125203814,0.483327997,0.043021391,0.090400593,0.734586158,0.959272584,0.783178956,0.556102469,0.78814133,0.747010763,0.987099887,0
0.044821432,0.079437422,0.053954866,0.18338707,0.094644475,0.41178737,0.043680976,0.091053569,0.693163345,0.911334797,0.831957826,0.53817699,0.841733899,0.802180617,0.993310786,0
0.045564399,0.077926435,0.048419009,0.1948977,0.066027082,0.328779731,0.044414763,0.09241962,0.743253527,0.935113359,0.878726607,0.520254378,0.893257327,0.85602881,0.979002472,0
