BrdIndx,Area,SD_G,SD_R,Rect,GLCM3,ShpIndx_40,NDVI_40,Area_60,Mean_R_60,Mean_NIR_60,SD_G_80,GLCM3_80,SD_R_100,Bright_120,Compact_120,SD_NIR_120,NDVI_120,Round_140,Mean_G_140,class
1.27,91,21.41,20.4,0.87,4219.69,1.42,-0.08,97,237.23,240.38,27.63,3806.36,28.36,227.19,1.32,26.18,-0.08,1.12,203.95,2
2.36,241,6.57,6.97,0.63,3682.08,3.54,-0.1,3861,219.54,221.58,18.86,1757.87,19.94,211.94,2.9,22.29,-0.09,1.66,186.31,3
2.12,266,6.16,4.93,0.78,2943.35,2.55,-0.08,4368,234.48,235.94,13.07,1245.19,15.93,222.97,1.87,15.59,-0.07,1.17,201.51,3
2.42,399,5.76,5.56,0.74,3550.19,3.47,-0.09,4834,244.14,243.82,10.44,1785.12,9.36,226.65,2.06,13.51,-0.09,1.41,200.18,3
2.15,944,11.46,8.9,0.59,2300.41,4.1,-0.11,3026,211.9,213.15,16.01,1130.22,16.5,193.39,5.03,15.65,-0.08,2.37,172.13,3
3.11,169,8.41,10.34,0.55,4707.12,3.33,0.32,1318,121.94,142.62,23.37,1333.1,26.42,161.92,2,26.38,0.29,1.5,222.62,8
1.2,44,35.42,36.45,0.89,4340.51,1.36,-0.1,44,221.61,223.82,43.89,872.29,42.52,112.58,2.53,53.36,-0.08,1.86,99.39,2
1,88,12.3,11.29,0.93,4213.84,1.08,-0.08,94,240.55,242.73,63.46,1652.39,66.77,112.58,2.53,53.36,-0.08,1.86,99.39,2
1.59,1737,7.08,7.03,0.9,2637.73,1.24,-0.11,2602,235.03,239.68,17.07,848.44,11.53,223.47,1.33,10.65,-0.1,0.48,193.77,1
2.37,153,10.21,11.99,0.64,4474.26,2.18,0.38,657,101.12,113.37,34.34,898.97,29.26,117.76,2.95,30.7,0.26,1.68,158.84,8
1.57,3552,5.5,5.54,0.94,3756.06,1.5,-0.14,4651,229.21,236.11,6.45,3132.13,6.31,212.66,1.15,6.53,-0.14,0.67,172.66,1
4.19,418,6.51,6.3,0.44,3711.08,4.03,-0.13,2601,97.86,102.29,19.95,1412.56,26.38,86.41,2.15,26.4,-0.11,1.5,73.24,0
1.3,1024,6.15,6.37,0.89,3703.39,1.64,-0.11,1024,209.61,172.6,22.7,1181.51,22.44,181.57,1.99,27.84,-0.08,1.46,170.28,1
1.14,289,10.3,11.55,0.91,2642.33,1.13,0.18,345,149.68,164.3,10.74,2915.26,17.12,175.82,1.17,16.13,0.18,0.32,213.47,4
2.03,249,7.72,6.36,0.76,2542.16,1.86,-0.08,1346,54.06,60.02,18.59,1105.52,17.57,54.77,2.03,17.88,-0.04,1.01,50.24,6
1.31,1639,7.15,7.82,0.9,2675,1.37,-0.1,1639,239.05,180.65,7.15,2675,21.2,210.06,1.75,29.52,-0.08,0.79,198.94,1
2.68,285,15.24,15.1,0.63,2323.79,2.7,0.35,597,88.76,104.16,26.3,897.06,17.13,125.71,1.64,17.33,0.35,0.63,184.23,8
2.79,293,7.9,9,0.67,3689.82,3.45,-0.03,667,236.22,235.39,9.14,3422.47,27.17,203.49,4.38,29.71,0.02,2.78,208.3,7
1.21,2797,7.5,4.98,0.85,2766.23,1.23,-0.05,2797,252.21,252.37,8.63,2605.29,8.13,244.45,1.31,6.84,-0.04,0.82,230.24,1
1.13,217,8.79,8.29,0.92,3132.21,1.1,0.15,434,50.17,53.67,24.37,1520.8,27.92,79.74,3.45,29.03,0.26,2.22,106.75,6
1.28,173,14.8,12.18,0.76,1700.07,1.29,-0.29,300,165.11,219.34,24.3,2065.1,26.04,203.8,1.36,38.56,-0.08,0.73,179.31,5
3.23,203,14.52,16.39,0.31,4149.89,2.95,0.08,461,73.43,78.25,29.56,1890.58,29.95,77.33,2.89,27.19,0.04,1.85,80.32,6
2.09,178,5.25,4.95,0.59,3928.82,4.68,-0.08,3452,217.48,218.21,13.18,1262.01,18.73,207.53,6.71,18.81,-0.08,2.75,185.96,3
2,138,13.52,13,0.73,3503.29,2.84,0.2,323,126.64,138.93,35.8,793.76,27.51,124.3,3.23,26.99,0.18,2.05,152.91,8
