Bright,ShpIndx,Mean_R,SD_NIR,Rect,Dens,NDVI,Mean_G_40,Compact_60,Dens_80,NDVI_80,BrdIndx_100,SD_G_100,Area_120,Round_120,class
231.38,1.47,241.74,18.69,0.87,1.6,-0.08,203.95,1.32,1.67,-0.08,1.33,27.63,97,1.12,2
216.15,2.51,229.39,7.02,0.63,1.55,-0.1,181.91,3,1.28,-0.1,4.68,18.86,7711,1.66,3
232.18,2.21,244.22,5.53,0.78,1.88,-0.08,208.36,1.98,1.61,-0.07,1.93,15.35,4606,1.17,3
230.4,2.73,243.27,5.46,0.74,1.51,-0.09,204.77,2.89,1.16,-0.09,3.5,10.44,10482,1.41,3
193.18,4.1,205.55,9.77,0.59,0.63,-0.11,165.98,2.52,0.43,-0.06,2.53,16.01,16680,2.37,3
172.22,3.35,127.65,11.5,0.55,1.38,0.31,228.44,1.93,1.5,0.3,3.05,29.25,4174,1.5,8
208.8,1.36,221.61,35.17,0.89,1.58,-0.1,180.95,1.14,1.3,-0.07,3.16,43.89,2706,1.86,2
234.51,1.12,246.48,8.81,0.93,1.78,-0.08,203.76,1.04,1.96,-0.1,1.25,63.46,2706,1.86,2
219.61,1.64,233.84,7.28,0.9,2.15,-0.11,188.22,1.26,2.34,-0.1,1.16,17.07,3120,0.48,1
120.24,2.59,81.5,11.3,0.64,1.57,0.39,187.46,2.36,2,0.31,2.74,59.72,983,1.68,8
213.22,1.6,229.84,5.63,0.94,2.3,-0.14,172.66,1.15,2.2,-0.14,1.46,6.45,4651,0.67,1
83.35,4.3,88.8,6.12,0.44,1.31,-0.13,68.56,2.61,1.69,-0.13,4.19,25.75,6130,1.5,0
183.93,1.64,209.61,6.8,0.89,1.63,-0.11,169.57,1.39,1.48,-0.09,1.81,26.43,2367,1.46,1
173.16,1.21,145.56,11.1,0.91,2.02,0.19,213.47,1.17,2.04,0.18,1.08,10.74,345,0.32,4
39.62,2.12,38.92,6.87,0.76,1.92,-0.04,42.95,2.03,2.04,-0.04,2.09,18.59,1346,1.01,6
205.31,1.37,239.05,8.37,0.9,2.07,-0.1,196.24,1.26,2.07,-0.1,1.56,19.37,2782,0.79,1
138.01,2.7,98.06,14.31,0.63,1.75,0.35,201.84,1.64,2.17,0.35,1.96,26.3,597,0.63,8
237.11,3.1,242.45,9.86,0.67,1.5,-0.03,224.61,2.51,1.83,-0.03,4.94,19.48,5657,2.78,7
244.7,1.23,252.21,4.42,0.85,2.2,-0.05,229.52,1.34,2.18,-0.04,1.19,8.63,2950,0.82,1
41.25,1.22,34.69,7.77,0.92,1.84,0.16,53.3,2.34,1.52,0.07,1.6,24.37,4013,2.22,6
157.34,1.41,161.11,16.76,0.76,1.8,-0.31,92.23,1.21,1.94,-0.29,1.16,24.3,1410,0.73,5
66.75,3.4,68.47,14.8,0.31,1.25,-0.06,77.67,2.89,1.57,0.04,2.62,29.56,461,1.85,6
215.76,2.66,229.03,5.01,0.59,1.06,-0.1,185.73,4,0.86,-0.08,5.11,19.71,6146,2.75,3
154.97,2.04,124.49,12.97,0.73,1.7,0.23,189.24,2.74,1.64,0.18,3.26,35.8,1216,2.05,8
152.09,2.46,123.78,10.17,0.67,0.96,0.22,194.33,1.64,1.97,0.24,2.33,17.34,1581,1.43,4
238.34,2.24,251.96,3.78,0.84,1.69,-0.09,212.42,3.53,1.33,-0.08,2.82,9.65,12060,1.68,3
176.66,3.93,160.12,7.02,0.58,1.33,0.12,198.13,2.73,1.61,0.12,2.69,14,3267,1.38,4
